GO	x	K	GeneRatio	BgRatio	p_value	genes_in_target	p_adjust	significant
GO:0005741	1	12	1/287	12/27058	0.12013618068150134	S.CEREALE.LO7.r2.7RG00681160	0.34230582988701747	FALSE
GO:0042026	1	13	1/287	13/27058	0.1294729002017413	S.CEREALE.LO7.r2.7RG00747890	0.35034676599623543	FALSE
GO:0019773	1	13	1/287	13/27058	0.1294729002017413	S.CEREALE.LO7.r2.7RG00673040	0.35034676599623543	FALSE
GO:0008233	2	59	2/287	59/27058	0.12965359448594885	S.CEREALE.LO7.r2.2RG00152570;S.CEREALE.LO7.r2.2RG00168970	0.35034676599623543	FALSE
GO:0003700	9	547	9/287	547/27058	0.1296956777966833	S.CEREALE.LO7.r2.1RG00070700;S.CEREALE.LO7.r2.1RG00076580;S.CEREALE.LO7.r2.2RG00169260;S.CEREALE.LO7.r2.4RG00323130;S.CEREALE.LO7.r2.4RG00351560;S.CEREALE.LO7.r2.6RG00577750;S.CEREALE.LO7.r2.6RG00583620;S.CEREALE.LO7.r2.6RG00588180;S.CEREALE.LO7.r2.7RG00676010	0.35034676599623543	FALSE
GO:0055085	13	865	13/287	865/27058	0.1326058949440627	S.CEREALE.LO7.r2.2RG00141940;S.CEREALE.LO7.r2.2RG00177730;S.CEREALE.LO7.r2.3RG00201340;S.CEREALE.LO7.r2.3RG00253400;S.CEREALE.LO7.r2.3RG00277140;S.CEREALE.LO7.r2.4RG00350640;S.CEREALE.LO7.r2.4RG00363150;S.CEREALE.LO7.r2.5RG00428770;S.CEREALE.LO7.r2.5RG00431530;S.CEREALE.LO7.r2.5RG00519080;S.CEREALE.LO7.r2.7RG00672310;S.CEREALE.LO7.r2.7RG00681160;S.CEREALE.LO7.r2.7RG00697080	0.35361571985083384	FALSE
GO:0015035	1	14	1/287	14/27058	0.13871088421513023	S.CEREALE.LO7.r2.2RG00140370	0.3593260099370269	FALSE
GO:0003755	2	63	2/287	63/27058	0.14409086449508388	S.CEREALE.LO7.r2.4RG00379910;S.CEREALE.LO7.r2.7RG00723530	0.3593260099370269	FALSE
GO:0016747	3	124	3/287	124/27058	0.145188723026049	S.CEREALE.LO7.r2.2RG00114110;S.CEREALE.LO7.r2.6RG00599580;S.CEREALE.LO7.r2.6RG00631700	0.3593260099370269	FALSE
GO:0016226	1	15	1/287	15/27058	0.14785117323414576	S.CEREALE.LO7.r2.5RG00449560	0.3593260099370269	FALSE
GO:0005096	1	15	1/287	15/27058	0.14785117323414576	S.CEREALE.LO7.r2.1RG00048300	0.3593260099370269	FALSE
GO:0032259	1	15	1/287	15/27058	0.14785117323414576	S.CEREALE.LO7.r2.5RG00508980	0.3593260099370269	FALSE
